,SegName,SegNum
731,Juniper Park U-Turn,5682653
732,Juniper OMW to work,3644656
733,Cars drive on Juniper to get more _,31393642
734,Juniper Valley Baseball Fields U Turn,33847971
735,Dartmouth downhill,9464842
736,Thornton Hill,9875431
737,burns drop,27715057
738,67th Ave Climb (Sprint!),13631908
739,Austin St Ends,10067258
740,Cote d' Crescents ,24434253
741,Alderton Climb,11631971
742,Y.stone & Burns -> Austin -> 67th Dr Climb -> QB Finish,32459711
743,Fleeting,31393811
745,Yellowstone/Jewel Climb x Queens Blvd,10700387
746,69th: Climb into Forest Hills,10503613
747,Climb of Doom,28309559
748,3:16,31475106
749,"Austin, NYC",30651666
750,Bump Ahead,7807438
751,"Lead the way, Greenway.",10646924
752,72 Ave Short Climb,19817903
753,N/B Park Dr - Sprint to 72Av,10646727
754,Charm Circle TT,21489815
755,main to park dr east on 72nd av,10700474
756,78th Dr hill sprint,21348615
757,Highway by-way,35376963
758,77 squiggle climb,34129993
759,77 hill,34773999
760,Parson's Ascend,779352
761,"168th st, Goethals ave to grand central pkwy",16260980
762,Alan Parsons Proj,31274570
763,3100 loop,1712982
764,Queen Hospital Bus Stop Climb,3833708
765,Grand Central Utopia ,34573378
766,GCP...midland pkwy to doncaster pl.,29737335
767,197 To Marengo,24190810
768,hillside -dunton,12834205
769,Hillside 197th to 188th,13332105
770,midland 2 188th St ,7276197
771,holliswood snake,10429318
772,188th climb to the park,30450735
773,91st Ave,25761120
775,6th ave up from Houston to Greenwich,18569797
776,Gansevoort to Christopher,18192824
777,Mac Dougal Street Climb,3190707
778,13th Street Sprint,20206166
779,8th Ave in the West Village,13793049
780,The Waverly Place Sprint,25219633
781,Bank-Wevelgem,6279288
782,Christopher Street,24074265
783,7th Ave 11th St to Houston,5104386
784,2nd ave - W22nd to St Marks,15842794
785,Park Avenue Climb,3371430
786,E9th to E17th on 4th ave/Park,15763283
787,First avenue loop,15556409
788,ERE- Skyport to C,20770642
789,22-15 East River Bikeway,19145315
790,UN Int'l School & Waterside Plaza Club S-bound,21643001
791,Avenue C loop,15556391
792,Freeman Street (McGuinness to Franklin),16544497
793,McGuiness Sprint w/ Trucks,13310524
794,Manhattan not Manhattan,5296637
795,Pulaski Bridge Twist,7488362
796,Greenpoint Ave Hill Sprint of Death,3843506
797,Provost or bust!,25267227
798,The Greenpoint 1/4 Mile Sprint,24415585
800,Kościuszko Queens-side Climb,21638460
801,Squiggle,23135797
802,Kościuszko Queens Descent,21638486
803,lenoble lumber and lazers,15497360
804,under the bridge,15497357
805,The exciting way to the Kosciuszko,28836659
806,58th Street northbound climb,2646086
807,shady hill,15497349
808,Laurel Hill Blvd. underpass east,2617223
809,Laurel Hill Blvd. underpass west,2617247
811,A little fun!,26485938
812,cote du maspeth,2694262
813,Cote du Maspeth between the lights,7213896
814,65th Street kick-up,2617240
815,53rd Drive climb,3053869
816,Baby Back Hill,5995036
817,65th hills,7410927
818,74th street climb,25539293
819,N65,33927769
820,Queens Blvd - Grand Ave to Woodhaven Blvd,22326869
821,Broadway to 90th st.,18436635
822,Aleister Crowley Descent ,31897316
824,Horace Harding Express,7779071
825,66th to Horace Harding via QB,33258478
827,Meadow circle ,5421180
828,Meadow Lake//Inside Track,4079484
829,Meadow Sprint North ,7465534
830,Meadow Lake,1478306
831,Meadow Lake Sprint South,21853343
832,grand central bikeway sprint,30649965
833,GCP 65th-68th Avs ,31888639
834,Worlds Fair Race counter clockwise,28940234
835,col de 136th,4687304
836,John Bowne HS sprint,21514381
837,QC Track CCW,10646734
838,150 jewels,31393602
839,l8 4 class ?,10728813
842,elechester dash,10571236
843,Jewel to Horace Harding downhill,10955494
844,Climb past the Precinct,19520421
845,Kissena Blvd: I-495 to Kissena Curve,10533086
846,P'NOK BUMP,10558962
